ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001448,0.000000257
4,0.000001389,0.000000429
8,0.000005122,0.000002377
16,0.000028922,0.000017381
32,0.000196545,0.000148189
64,0.001277107,0.001090498
128,0.005788082,0.005250722
256,0.046773223,0.044649724
512,0.327887151,0.319102594
1024,2.767327406,2.732025659
2048,27.629624880,27.498363129
4096,241.425269733,240.924160706
