ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001246,0.000000176
4,0.000001515,0.000000492
8,0.000004549,0.000002101
16,0.000028261,0.000016229
32,0.000118943,0.000079871
64,0.000848381,0.000700086
128,0.006309205,0.005782514
256,0.050939423,0.048816487
512,0.418517711,0.409953835
1024,4.109320581,4.074115970
2048,71.675349962,71.542497574
4096,676.646416254,676.140604195
