mpi,omp,nx,ny,npoints,total_time,interp,norm,reverse,mover
1,1,250,100,900000,0.278111,0.130529,0.000978,0.118889,0.027715
2,1,250,100,900000,0.137777,0.066113,0.001009,0.057017,0.013638
4,1,250,100,900000,0.071356,0.037104,0.001102,0.027508,0.005642
8,1,250,100,900000,0.044733,0.023661,0.002789,0.015271,0.003012
16,1,250,100,900000,0.033833,0.021561,0.001608,0.008808,0.001855
16,2,250,100,900000,0.033573,0.021840,0.001659,0.008276,0.001799
16,4,250,100,900000,0.034874,0.023226,0.001532,0.008316,0.001801
