mpi,omp,nx,ny,npoints,total_time,interp,norm,reverse,mover
1,1,250,100,5000000,2.668921,1.353105,0.000968,1.040734,0.274114
2,1,250,100,5000000,0.995889,0.448536,0.001050,0.417253,0.129050
4,1,250,100,5000000,1.452553,0.645110,0.115241,0.574008,0.118194
8,1,250,100,5000000,0.762632,0.439900,0.132187,0.132208,0.058337
16,1,250,100,5000000,0.185752,0.094309,0.001402,0.047159,0.042882
16,2,250,100,5000000,0.182463,0.091591,0.001390,0.047264,0.042217
16,4,250,100,5000000,0.173156,0.081871,0.001423,0.047357,0.042505
