mpi,omp,nx,ny,npoints,total_time,interp,norm,reverse,mover
1,1,500,200,20000000,8.807280,3.677944,0.003393,3.596694,1.529249
1,2,500,200,20000000,7.323706,2.862061,0.003204,2.985368,1.473074
4,1,500,200,20000000,4.257228,1.997896,0.003631,1.887230,0.368471
8,1,500,200,20000000,3.238223,1.415062,0.017932,1.477894,0.327334
16,1,500,200,20000000,0.813975,0.403357,0.005036,0.233093,0.172489
16,2,500,200,20000000,0.770149,0.356628,0.005304,0.234361,0.173856
16,4,500,200,20000000,0.740366,0.319416,0.004719,0.240741,0.175490
