mpi,omp,nx,ny,npoints,total_time,interp,norm,reverse,mover
1,1,1000,400,14000000,4.856430,2.411876,0.013073,2.005378,0.426104
2,1,1000,400,14000000,2.394088,1.155152,0.012895,0.955390,0.270650
4,1,1000,400,14000000,1.248869,0.617332,0.012919,0.479824,0.138794
8,1,1000,400,14000000,0.808103,0.442284,0.014909,0.292045,0.058865
8,2,1000,400,14000000,0.909501,0.477337,0.014928,0.323461,0.093775
8,4,1000,400,14000000,0.910090,0.474160,0.014384,0.325166,0.096381
8,8,1000,400,14000000,0.892701,0.467042,0.014101,0.306445,0.105113
