Config,Grid,Points,Cores,Execution_Time_s,Speedup
3,500x200,3.6M,1,0.350,1.00
3,500x200,3.6M,2,0.189,1.85
3,500x200,3.6M,4,0.131,2.67
3,500x200,3.6M,8,0.142,2.47
3,500x200,3.6M,16,0.159,2.20
