Config,Grid,Points,Cores,Execution_Time_s,Speedup
5,1000x400,14M,1,2.571,1.00
5,1000x400,14M,2,1.350,1.91
5,1000x400,14M,4,0.865,2.97
5,1000x400,14M,8,1.058,2.43
5,1000x400,14M,16,2.007,1.28
