Config,Grid,Points,Cores,Execution_Time_s,Speedup
4,500x200,20M,1,1.933,1.00
4,500x200,20M,2,1.020,1.90
4,500x200,20M,4,0.717,2.70
4,500x200,20M,8,0.769,2.51
4,500x200,20M,16,0.754,2.56
