Config,Grid,Points,Cores,Execution_Time_s,Speedup
2,250x100,5M,1,0.474,1.00
2,250x100,5M,2,0.240,1.97
2,250x100,5M,4,0.178,2.66
2,250x100,5M,8,0.179,2.66
2,250x100,5M,16,0.195,2.43
