Threads,Time,Speedup,Efficiency
1,1.969626,1.000000,1.000000
2,1.968716,1.000462,0.500231
4,1.422269,1.384848,0.346212
8,0.984734,2.000161,0.250020
16,0.821045,2.398925,0.149933
