Threads,Time,Speedup,Efficiency
1,9.177850,1.000000,1.000000
2,7.333956,1.251419,0.625709
4,5.938424,1.545503,0.386376
8,3.718641,2.468066,0.308508
16,2.952147,3.108873,0.194305
