Threads,Time,Speedup,Efficiency
1,9.441241,1.000000,1.000000
2,9.253363,1.020304,0.510152
4,4.663172,2.024639,0.506160
8,2.625669,3.595748,0.449468
16,1.928218,4.896355,0.306022
