Threads,Time,Speedup,Efficiency
1,0.376593,1.000000,1.000000
2,0.361093,1.042923,0.521462
4,0.264545,1.423546,0.355887
8,0.178245,2.112782,0.264098
16,0.147260,2.557331,0.159833
